employee_id,first_name,last_name,email,phone_number,manager_id,department,country_id
11,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
25,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
39,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
53,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
3,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
8,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
17,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
22,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
31,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
36,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
45,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
50,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
1,Jean,AAA,jean.aaa@mycompany.fr,32359949,,Sales,FR
5,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
7,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
15,Jean,AAA,jean.aaa@mycompany.fr,32359949,,Sales,FR
19,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
21,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
29,Jean,AAA,jean.aaa@mycompany.fr,32359949,,Sales,FR
33,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
35,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
43,Jean,AAA,jean.aaa@mycompany.fr,32359949,,Sales,FR
47,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
49,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
4,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
6,Albert,FFF,albert.fff@mycompany.hk,63142944,,IT,HK
18,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
20,Albert,FFF,albert.fff@mycompany.hk,63142944,,IT,HK
32,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
34,Albert,FFF,albert.fff@mycompany.hk,63142944,,IT,HK
46,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
48,Albert,FFF,albert.fff@mycompany.hk,63142944,,IT,HK
10,Frank,JJJ,frank.jjj@mycompany.it,83318015,,Sales,IT
24,Frank,JJJ,frank.jjj@mycompany.it,83318015,,Sales,IT
38,Frank,JJJ,frank.jjj@mycompany.it,83318015,,Sales,IT
52,Frank,JJJ,frank.jjj@mycompany.it,83318015,,Sales,IT
2,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
14,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
16,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
28,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
30,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
42,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
44,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
56,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
9,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
13,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
23,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
27,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
37,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
41,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
51,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
55,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
12,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
26,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
40,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
54,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
