employee_id,first_name,last_name,email,phone_number,manager_id,department,country_id,mgr_first,mgr_last
2,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES,Jean,AAA
3,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR,Jean,AAA
4,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK,Jean,AAA
5,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR,Jean,AAA
7,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR,Albert,FFF
8,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR,Albert,FFF
9,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB,Albert,FFF
11,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR,Camille,III
12,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US,Camille,III
13,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB,Camille,III
14,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES,Camille,III
16,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES,Jean,AAA
17,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR,Jean,AAA
18,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK,Jean,AAA
19,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR,Jean,AAA
21,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR,Albert,FFF
22,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR,Albert,FFF
23,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB,Albert,FFF
25,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR,Camille,III
26,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US,Camille,III
27,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB,Camille,III
28,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES,Camille,III
30,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES,Jean,AAA
31,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR,Jean,AAA
32,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK,Jean,AAA
33,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR,Jean,AAA
35,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR,Albert,FFF
36,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR,Albert,FFF
37,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB,Albert,FFF
39,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR,Camille,III
40,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US,Camille,III
41,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB,Camille,III
42,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES,Camille,III
44,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES,Jean,AAA
45,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR,Jean,AAA
46,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK,Jean,AAA
47,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR,Jean,AAA
49,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR,Albert,FFF
50,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR,Albert,FFF
51,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB,Albert,FFF
53,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR,Camille,III
54,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US,Camille,III
55,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB,Camille,III
56,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES,Camille,III
